Дата;Открытие;Макс;Мин;Закрытие
14.09.2018;107290;107770;107290;107720
14.09.2018;107760;107800;107690;107800
14.09.2018;107780;107780;107610;107610
14.09.2018;107600;107670;107570;107650
14.09.2018;107650;107650;107490;107570
14.09.2018;107600;107600;107550;107570
14.09.2018;107600;107660;107600;107600
14.09.2018;107620;107670;107620;107670
14.09.2018;107640;107690;107640;107690
14.09.2018;107650;107650;107650;107650
14.09.2018;107660;107660;107610;107640
14.09.2018;107650;107650;107650;107650
14.09.2018;107660;107710;107660;107710
14.09.2018;107750;107850;107740;107850
14.09.2018;107880;107900;107850;107880
14.09.2018;107900;107910;107790;107860
14.09.2018;107880;107910;107870;107910
14.09.2018;107920;107990;107920;107950
14.09.2018;107930;107930;107780;107850
14.09.2018;107870;107890;107810;107820
14.09.2018;107890;107890;107840;107840
14.09.2018;107820;107820;107800;107800
14.09.2018;107780;107820;107780;107820
14.09.2018;107810;107810;107740;107740
14.09.2018;107720;107720;107560;107560
14.09.2018;107620;107690;107580;107680
14.09.2018;107690;107750;107690;107750
14.09.2018;107810;107880;107810;107880
14.09.2018;107870;107940;107820;107940
14.09.2018;107900;107900;107840;107850
14.09.2018;107840;107840;107780;107780
14.09.2018;107800;107830;107790;107830
14.09.2018;107820;107900;107820;107900
14.09.2018;107870;107870;107870;107870
14.09.2018;107880;107940;107880;107940
14.09.2018;107930;108020;107920;108020
14.09.2018;108000;108000;107910;107920
14.09.2018;107890;107960;107880;107960
14.09.2018;108000;108090;108000;108020
14.09.2018;108060;108260;108060;108160
14.09.2018;108190;108230;108170;108190
14.09.2018;108160;108190;108130;108190
14.09.2018;108150;108150;108080;108100
14.09.2018;108070;108100;108040;108100
14.09.2018;108100;108100;108030;108030
14.09.2018;108020;108040;107860;108000
14.09.2018;107980;108010;107980;108010
14.09.2018;108010;108010;108010;108010
14.09.2018;107990;107990;107900;107940
14.09.2018;107930;107940;107930;107930
14.09.2018;107970;107970;107960;107960
14.09.2018;107950;107950;107810;107810
14.09.2018;107820;107840;107820;107830
14.09.2018;107830;107840;107830;107830
14.09.2018;107790;107790;107740;107780
14.09.2018;107770;107800;107740;107800
14.09.2018;107840;107900;107840;107900
14.09.2018;107950;107950;107930;107930
14.09.2018;107910;107910;107860;107870
14.09.2018;107860;107860;107860;107860
14.09.2018;107820;107840;107750;107780
14.09.2018;107770;107770;107690;107690
14.09.2018;107710;107720;107680;107710
14.09.2018;107720;107720;107660;107670
14.09.2018;107670;107710;107670;107710
14.09.2018;107670;107670;107670;107670
14.09.2018;107670;107670;107660;107660
14.09.2018;107630;107670;107630;107660
14.09.2018;107660;107680;107660;107680
14.09.2018;107710;107710;107680;107680
14.09.2018;107640;107640;107570;107570
14.09.2018;107570;107600;107530;107530
14.09.2018;107530;107530;107460;107470
14.09.2018;107450;107450;107420;107430
14.09.2018;107460;107470;107410;107470
14.09.2018;107430;107470;107430;107440
14.09.2018;107440;107500;107440;107500
14.09.2018;107490;107490;107330;107370
14.09.2018;107380;107450;107370;107450
14.09.2018;107430;107430;107400;107430
14.09.2018;107400;107580;107400;107580
14.09.2018;107580;107600;107520;107540
14.09.2018;107540;107560;107520;107550
14.09.2018;107560;107630;107560;107630
14.09.2018;107630;107630;107560;107580
14.09.2018;107580;107580;107580;107580
14.09.2018;107560;107560;107560;107560
14.09.2018;107500;107510;107470;107510
14.09.2018;107490;107490;107420;107430
14.09.2018;107420;107450;107370;107430
14.09.2018;107430;107450;107400;107440
14.09.2018;107430;107430;107350;107410
14.09.2018;107390;107390;107360;107370
14.09.2018;107330;107400;107310;107400
14.09.2018;107410;107410;107410;107410
14.09.2018;107430;107430;107410;107410
14.09.2018;107340;107400;107300;107400
14.09.2018;107400;107480;107400;107480
14.09.2018;107460;107460;107430;107430
14.09.2018;107450;107450;107400;107400
14.09.2018;107400;107400;107400;107400
14.09.2018;107400;107400;107350;107350
14.09.2018;107360;107390;107320;107390
14.09.2018;107340;107340;107340;107340
14.09.2018;107400;107410;107390;107410
14.09.2018;107380;107400;107300;107300
14.09.2018;107310;107310;107190;107200
14.09.2018;107190;107260;107190;107260
14.09.2018;107280;107280;107190;107200
14.09.2018;107210;107210;107100;107190
14.09.2018;107180;107180;107100;107130
14.09.2018;107160;107160;107130;107130
14.09.2018;107090;107090;107000;107000
14.09.2018;106990;107050;106960;107050
14.09.2018;107080;107110;107080;107100
14.09.2018;107070;107070;106990;107010
14.09.2018;107000;107020;106990;107000
14.09.2018;106980;106980;106910;106940
14.09.2018;106980;107030;106980;107010
14.09.2018;106990;106990;106930;106930
14.09.2018;106940;106940;106930;106940
14.09.2018;106960;107000;106960;107000
14.09.2018;107030;107050;107000;107000
14.09.2018;106970;107000;106970;107000
14.09.2018;106950;106990;106940;106960
14.09.2018;107020;107030;106960;106980
14.09.2018;107030;107030;107030;107030
14.09.2018;107060;107140;107050;107140
14.09.2018;107120;107170;107100;107160
14.09.2018;107090;107140;107080;107140
14.09.2018;107090;107090;107090;107090
14.09.2018;107120;107120;107060;107060
14.09.2018;107080;107080;107060;107060
14.09.2018;107140;107190;107140;107190
14.09.2018;107200;107210;107130;107130
14.09.2018;107150;107150;107150;107150
14.09.2018;107130;107140;107130;107140
14.09.2018;107150;107150;107140;107140
14.09.2018;107140;107140;107140;107140
14.09.2018;107100;107160;107090;107160
14.09.2018;107180;107200;107130;107130
14.09.2018;107130;107130;107100;107100
14.09.2018;107140;107140;107140;107140
14.09.2018;107150;107170;107150;107170
14.09.2018;107190;107270;107190;107250
14.09.2018;107230;107230;107210;107210
14.09.2018;107200;107250;107190;107250
14.09.2018;107240;107250;107240;107250
14.09.2018;107250;107280;107230;107230
14.09.2018;107210;107210;107210;107210
14.09.2018;107180;107210;107180;107210
