AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using fdc4:f303:9324::7. Set the 'ServerName' directive globally to suppress this message
[Thu Sep 11 17:21:40.318909 2025] [mpm_event:debug] [pid 1:tid 1] event.c(751): Child 0 started: pid 9, gen 0, active 1/16, total 1/1/16
[Thu Sep 11 17:21:40.319284 2025] [mpm_event:debug] [pid 9:tid 10] event.c(2475): AH02471: start_threads: Using epoll (wakeable)
[Thu Sep 11 17:21:40.318848 2025] [:notice] [pid 8:tid 8] FastCGI: process manager initialized (pid 8)
[Thu Sep 11 17:21:40.319837 2025] [mpm_event:debug] [pid 1:tid 1] event.c(751): Child 1 started: pid 11, gen 0, active 2/16, total 2/2/16
[Thu Sep 11 17:21:40.320327 2025] [mpm_event:debug] [pid 11:tid 12] event.c(2475): AH02471: start_threads: Using epoll (wakeable)
[Thu Sep 11 17:21:40.323117 2025] [mpm_event:debug] [pid 1:tid 1] event.c(751): Child 2 started: pid 28, gen 0, active 3/16, total 3/3/16
[Thu Sep 11 17:21:40.323324 2025] [mpm_event:notice] [pid 1:tid 1] AH00489: Apache/2.4.65 (Unix) mod_fastcgi/mod_fastcgi-SNAP-0910052141 configured -- resuming normal operations
[Thu Sep 11 17:21:40.323573 2025] [mpm_event:info] [pid 1:tid 1] AH00490: Server built: Aug 12 2025 22:25:29
[Thu Sep 11 17:21:40.323771 2025] [core:notice] [pid 1:tid 1] AH00094: Command line: 'httpd -D FOREGROUND'
[Thu Sep 11 17:21:40.323897 2025] [core:debug] [pid 1:tid 1] log.c(1605): AH02639: Using SO_REUSEPORT: yes (1)
[Thu Sep 11 17:21:40.323940 2025] [mpm_event:debug] [pid 28:tid 39] event.c(2475): AH02471: start_threads: Using epoll (wakeable)
[Thu Sep 11 17:21:46.625465 2025] [authz_core:debug] [pid 11:tid 30] mod_authz_core.c(815): [client ::1:52936] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:21:46.625703 2025] [authz_core:debug] [pid 11:tid 30] mod_authz_core.c(815): [client ::1:52936] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:21:54.689594 2025] [authz_core:debug] [pid 28:tid 50] mod_authz_core.c(815): [client ::1:40620] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:21:54.690068 2025] [authz_core:debug] [pid 28:tid 50] mod_authz_core.c(815): [client ::1:40620] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:21:54.690803 2025] [authz_core:debug] [pid 28:tid 50] mod_authz_core.c(815): [client ::1:40620] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:21:54.691021 2025] [authz_core:debug] [pid 28:tid 50] mod_authz_core.c(815): [client ::1:40620] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:22:23.777578 2025] [authz_core:debug] [pid 28:tid 55] mod_authz_core.c(815): [client ::1:34912] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:22:23.777892 2025] [authz_core:debug] [pid 28:tid 55] mod_authz_core.c(815): [client ::1:34912] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:22:23.778067 2025] [authz_core:debug] [pid 28:tid 55] mod_authz_core.c(815): [client ::1:34912] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:22:23.778234 2025] [authz_core:debug] [pid 28:tid 55] mod_authz_core.c(815): [client ::1:34912] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:23:27.405402 2025] [authz_core:debug] [pid 28:tid 59] mod_authz_core.c(815): [client ::1:33224] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:23:27.405618 2025] [authz_core:debug] [pid 28:tid 59] mod_authz_core.c(815): [client ::1:33224] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:23:27.405780 2025] [authz_core:debug] [pid 28:tid 59] mod_authz_core.c(815): [client ::1:33224] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:23:27.405918 2025] [authz_core:debug] [pid 28:tid 59] mod_authz_core.c(815): [client ::1:33224] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:24:47.656350 2025] [authz_core:debug] [pid 28:tid 63] mod_authz_core.c(815): [client ::1:59052] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:24:47.656681 2025] [authz_core:debug] [pid 28:tid 63] mod_authz_core.c(815): [client ::1:59052] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:24:47.657093 2025] [authz_core:debug] [pid 28:tid 63] mod_authz_core.c(815): [client ::1:59052] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:24:47.657300 2025] [authz_core:debug] [pid 28:tid 63] mod_authz_core.c(815): [client ::1:59052] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:25:53.557640 2025] [authz_core:debug] [pid 28:tid 67] mod_authz_core.c(815): [client ::1:36326] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:25:53.557867 2025] [authz_core:debug] [pid 28:tid 67] mod_authz_core.c(815): [client ::1:36326] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:25:53.557989 2025] [authz_core:debug] [pid 28:tid 67] mod_authz_core.c(815): [client ::1:36326] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:25:53.558089 2025] [authz_core:debug] [pid 28:tid 67] mod_authz_core.c(815): [client ::1:36326] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:08.978452 2025] [authz_core:debug] [pid 28:tid 69] mod_authz_core.c(815): [client ::1:48614] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:08.978636 2025] [authz_core:debug] [pid 28:tid 69] mod_authz_core.c(815): [client ::1:48614] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:08.978816 2025] [authz_core:debug] [pid 28:tid 69] mod_authz_core.c(815): [client ::1:48614] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:08.978916 2025] [authz_core:debug] [pid 28:tid 69] mod_authz_core.c(815): [client ::1:48614] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:35.351085 2025] [authz_core:debug] [pid 28:tid 71] mod_authz_core.c(815): [client ::1:59996] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:35.351291 2025] [authz_core:debug] [pid 28:tid 71] mod_authz_core.c(815): [client ::1:59996] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:35.351466 2025] [authz_core:debug] [pid 28:tid 71] mod_authz_core.c(815): [client ::1:59996] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:35.351556 2025] [authz_core:debug] [pid 28:tid 71] mod_authz_core.c(815): [client ::1:59996] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:38.897268 2025] [authz_core:debug] [pid 28:tid 73] mod_authz_core.c(815): [client ::1:60014] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:38.897442 2025] [authz_core:debug] [pid 28:tid 73] mod_authz_core.c(815): [client ::1:60014] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:38.897604 2025] [authz_core:debug] [pid 28:tid 73] mod_authz_core.c(815): [client ::1:60014] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 17:26:38.897739 2025] [authz_core:debug] [pid 28:tid 73] mod_authz_core.c(815): [client ::1:60014] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:23.240784 2025] [authz_core:debug] [pid 28:tid 77] mod_authz_core.c(815): [client ::1:41530] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:23.241385 2025] [authz_core:debug] [pid 28:tid 77] mod_authz_core.c(815): [client ::1:41530] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:23.242410 2025] [authz_core:debug] [pid 28:tid 77] mod_authz_core.c(815): [client ::1:41530] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:23.242556 2025] [authz_core:debug] [pid 28:tid 77] mod_authz_core.c(815): [client ::1:41530] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:24.475468 2025] [authz_core:debug] [pid 28:tid 84] mod_authz_core.c(815): [client ::1:41552] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:24.475727 2025] [authz_core:debug] [pid 28:tid 84] mod_authz_core.c(815): [client ::1:41552] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:24.475909 2025] [authz_core:debug] [pid 28:tid 84] mod_authz_core.c(815): [client ::1:41552] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:24.476051 2025] [authz_core:debug] [pid 28:tid 84] mod_authz_core.c(815): [client ::1:41552] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:25.120112 2025] [authz_core:debug] [pid 28:tid 87] mod_authz_core.c(815): [client ::1:51538] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:25.120447 2025] [authz_core:debug] [pid 28:tid 87] mod_authz_core.c(815): [client ::1:51538] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:25.120751 2025] [authz_core:debug] [pid 28:tid 87] mod_authz_core.c(815): [client ::1:51538] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:25.120875 2025] [authz_core:debug] [pid 28:tid 87] mod_authz_core.c(815): [client ::1:51538] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:25.538239 2025] [authz_core:debug] [pid 11:tid 33] mod_authz_core.c(815): [client ::1:51556] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:25.538648 2025] [authz_core:debug] [pid 11:tid 33] mod_authz_core.c(815): [client ::1:51556] AH01626: authorization result of <RequireAny>: granted, referer: http://localhost:63343/
[Thu Sep 11 20:15:25.539476 2025] [authz_core:debug] [pid 11:tid 33] mod_authz_core.c(815): [client ::1:51556] AH01626: authorization result of Require all granted: granted, referer: http://localhost:63343/
